,Code,accountsPayable,cash,commonStock,deferredLongTermAssetCharges,goodWill,intangibleAssets,longTermDebt,longTermInvestments,minorityInterest,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiab,otherLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,shortLongTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,inventory,capitalSurplus,deferredLongTermLiab
2021-06-30 00:00:00,CWY,148600000.0,69400000.0,2695700000.0,52200000.0,1851700000.0,468700000.0,605400000.0,41700000.0,2400000.0,376100000.0,313500000.0,76200000.0,,259700000.0,423300000.0,25100000.0,1720700000.0,-86900000.0,,3000000.0,4651500000.0,492500000.0,564000000.0,2015200000.0,2633900000.0,25100000.0,22100000.0,,5800000.0
2021-06-30 00:00:00,WOR,1262000000.0,522000000.0,5321000000.0,213000000.0,5220000000.0,836000000.0,1614000000.0,172000000.0,38000000.0,2013000000.0,-493000000.0,442000000.0,227000000.0,504000000.0,292000000.0,-505000000.0,618000000.0,747000000.0,101000000.0,,10150000000.0,2862000000.0,2444000000.0,4549000000.0,5563000000.0,-505000000.0,,,
2021-06-30 00:00:00,FBU,729000000.0,666000000.0,3278000000.0,224000000.0,706000000.0,414000000.0,751000000.0,173000000.0,16000000.0,1179000000.0,2635000000.0,614000000.0,94000000.0,867000000.0,63000000.0,-91000000.0,2978000000.0,598000000.0,106000000.0,,8010000000.0,3125000000.0,1906000000.0,4239000000.0,3755000000.0,-121000000.0,1186000000.0,,
2020-06-30 00:00:00,ORE,29228000.0,171836000.0,548462000.0,,,897000.0,163074000.0,23171000.0,88215000.0,16403000.0,601462000.0,60433000.0,5668000.0,,157746000.0,-16608000.0,834264000.0,70505000.0,37291000.0,,1145661000.0,226896000.0,105616000.0,455087000.0,602359000.0,-16608000.0,30336000.0,,
2021-06-30 00:00:00,JBH,716100000.0,263200000.0,393000000.0,30300000.0,747000000.0,284400000.0,,,,211600000.0,277000000.0,69300000.0,5000000.0,328100000.0,127600000.0,83800000.0,705300000.0,831600000.0,,,3255300000.0,1449300000.0,1355300000.0,1946900000.0,1308400000.0,83800000.0,938800000.0,,
2021-06-30 00:00:00,EBO,1469202000.0,168953000.0,993616000.0,141806000.0,999339000.0,162443000.0,323565000.0,56556000.0,-5321000.0,1156777000.0,249242000.0,141836000.0,44000.0,190879000.0,138890000.0,-16045000.0,464938000.0,433453000.0,122694000.0,,3949758000.0,2124646000.0,1877979000.0,2544055000.0,1411024000.0,-16045000.0,784761000.0,,
2020-06-30 00:00:00,BEN,64182600000.0,1226700000.0,4909300000.0,88300000.0,1440300000.0,124300000.0,4917400000.0,854200000.0,,108600000.0,4233600000.0,66174900000.0,163000000.0,,87200000.0,-3600000.0,252300000.0,892500000.0,147600000.0,106700000.0,76008900000.0,7162900000.0,64984700000.0,70210700000.0,5798200000.0,-3600000.0,,,37100000.0
2021-06-30 00:00:00,A2M,40986000.0,875150000.0,149121000.0,53101000.0,8172000.0,6965000.0,,157803000.0,,81719000.0,1068823000.0,69715000.0,,4746000.0,511000.0,-106325000.0,32464000.0,1044937000.0,,,1372011000.0,1096892000.0,274690000.0,288051000.0,1083960000.0,-110098000.0,112204000.0,,
2020-12-31 00:00:00,YAL,414000000.0,637000000.0,6219000000.0,,60000000.0,75000000.0,3629000000.0,257000000.0,2000000.0,364000000.0,5056000000.0,437000000.0,30000000.0,38000000.0,954000000.0,129000000.0,8883000000.0,-1157000000.0,455000000.0,,11055000000.0,1343000000.0,1199000000.0,5862000000.0,5191000000.0,129000000.0,312000000.0,,
2017-12-31 00:00:00,SKI,,117289000.0,1067502000.0,,,,1061744000.0,3386623000.0,,9197000.0,2076764000.0,,1891000.0,3509000.0,313971000.0,-40911000.0,699000.0,1050173000.0,1061744000.0,,3515699000.0,128377000.0,63220000.0,1438935000.0,2076764000.0,-40911000.0,,,
